ticker,name,asset_type,sector,industry,market,is_active,benchmark,market_cap,bond_yield,duration
CRL,"Charles River Laboratories International, Inc.",stock,Health Care,Life Sciences Tools & Services,US,True,SPY,8378264958.579712,,
CAT,Caterpillar Inc.,stock,Industrials,Construction Machinery & Heavy Transportation Equipment,US,True,SPY,386556052328.6814,,
GEV,GE Vernova Inc.,stock,Industrials,Heavy Electrical Equipment,US,True,SPY,308810315308.7378,,
GE,GE Aerospace,stock,Industrials,Aerospace & Defense,US,True,SPY,297358511390.93384,,
FAST,Fastenal Company,stock,Industrials,Trading Companies & Distributors,US,True,SPY,51305685299.50377,,
CARR,Carrier Global Corporation,stock,Industrials,Building Products,US,True,SPY,50936370845.06607,,
ODFL,"Old Dominion Freight Line, Inc.",stock,Industrials,Cargo Ground Transportation,US,True,SPY,45849466777.12968,,
SWK,"Stanley Black & Decker, Inc.",stock,Industrials,Industrial Machinery & Supplies & Components,US,True,SPY,11901151823.780684,,
BLDR,"Builders FirstSource, Inc.",stock,Industrials,Building Products,US,True,SPY,9680684193.313265,,
AOS,A. O. Smith Corporation,stock,Industrials,Building Products,US,True,SPY,8899878652.49302,,
NVDA,NVIDIA Corporation,stock,Information Technology,Semiconductors,US,True,SPY,5062002453842.163,,
AAPL,Apple Inc.,stock,Information Technology,"Technology Hardware, Storage & Peripherals",US,True,SPY,3979469772557.373,,
MSFT,Microsoft Corporation,stock,Information Technology,Systems Software,US,True,SPY,3155936163999.813,,
CIEN,Ciena Corporation,stock,Information Technology,Communications Equipment,US,True,SPY,73640299055.54498,,
MSI,"Motorola Solutions, Inc.",stock,Information Technology,Communications Equipment,US,True,SPY,72840396179.94214,,
TER,"Teradyne, Inc.",stock,Information Technology,Semiconductor Materials & Equipment,US,True,SPY,65454363556.00159,,
IT,"Gartner, Inc.",stock,Information Technology,IT Consulting & Other Services,US,True,SPY,10163659461.074753,,
SWKS,"Skyworks Solutions, Inc.",stock,Information Technology,Semiconductors,US,True,SPY,9573339774.451286,,
